abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_consumption_combined,fuel_tank_volume,fuel_type,generation,kerb_weight,minimum_turning_circle,model,modification,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),780 Bertone,NULL,NULL,780 Bertone,2.9 (147 Hp),NULL,NULL,NULL,NULL,NULL,147 hp,NULL,NULL,NULL
yes,Volvo,NULL,Coupe - Cabriolet,NULL,2,6.4 l/100 km.,60 l,Diesel,C70 Coupe Cabrio II,1740 kg.,11.95 m,C70,2.O D4 (177 Hp),5,6,NULL,81 mm.,Inline,177 hp/3500 rpm.,4,400 Nm/1750-2750 rpm.,2640 mm.
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),780 Bertone,NULL,NULL,780 Bertone,2.9 (156 Hp),NULL,NULL,NULL,NULL,NULL,156 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"760 (704,764)",NULL,NULL,760,2.8 (764) (147 Hp),NULL,NULL,NULL,NULL,NULL,147 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),850 Combi (LW),NULL,NULL,850,2.5 AWD (193 Hp),NULL,NULL,NULL,NULL,NULL,193 hp,NULL,NULL,NULL
NULL,Volvo,NULL,NULL,NULL,NULL,NULL,NULL,Petrol (Gasoline),"760 (704,764)",NULL,NULL,760,2.8 (704) (156 Hp),NULL,NULL,NULL,NULL,NULL,156 hp,NULL,NULL,NULL
yes,Volvo,NULL,Coupe - Cabriolet,NULL,2,5.9 l/100 km.,60 l,Diesel,C70 Coupe Cabrio II,1740 kg.,11.95 m,C70,2.O D4 (177 Hp) Automatic,5,6,NULL,81 mm.,Inline,177 hp/3500 rpm.,4,400 Nm/1750-2750 rpm.,2640 mm.
yes,Volvo,NULL,Sedan,NULL,4,7.6 l/100 km.,55 l,Petrol (Gasoline),S40 II (facelift 2008),1370 kg.,11.1 m,S40,2.0i (145 Hp),4,6,NULL,87.5 mm.,Inline,145 hp/6000 rpm.,5,185 Nm/4500 rpm.,2640 mm.
yes,Volvo,9,Sedan,83 mm.,4,9.4 l/100 km.,62 l,Petrol (Gasoline),S40 II (facelift 2008),1368 kg.,10.6 m,S40,2.5i AWD Automatic (220 Hp),5,5,4,93.2 mm.,Inline,220 hp/5000 rpm.,5,320 Nm/1500-4800 rpm.,2640 mm.
yes,Volvo,9,Sedan,83 mm.,4,8.7 l/100 km.,62 l,Petrol (Gasoline),S40 II (facelift 2008),1368 kg.,10.6 m,S40,2.5i AWD MT (220 Hp),5,5,4,93.2 mm.,Inline,220 hp/5000 rpm.,5,320 Nm/1500-4800 rpm.,2640 mm.
yes,Volvo,NULL,Sedan,NULL,4,9.0 l/100 km.,62 l,Petrol (Gasoline),S40 II (facelift 2008),1478 kg.,11.1 m,S40,2.5i T5 (230 Hp),5,5,NULL,83 mm.,Inline,230 hp/5000 rpm.,5,320 Nm/1500-5000 rpm.,2640 mm.
