abs_,airbag_driver,airbag_passenger,airbag_side,alloy_wheels,central_locking,chassis_warranty,cylinder_capacity,fuel,fuel_tank,general_warranty,maintenance,max_power,max_torque,name,no_of_cylinders,no_of_seats,parking_sensors,price,reverse_camera,top_speed,transmission,wheelbase
1,1,1,1,1,1,,1499,diesel,47,,,70 kW (95 hp),215,Ford B-MAX 1.5 TDCi Style,4,5,0,23.895,0,173,manual,2489 mm
1,1,1,1,1,1,,1596,petrol,48,,,77 kW (105 hp),150,Ford B-MAX 1.6 Ti-VCT Trend,4,5,0,23.895,0,180,sequential automatic,2489 mm
1,1,1,1,1,1,,999,petrol,48,,,74 kW (100 hp),170,Ford B-MAX 1.0 EcoBoost 100hp Trend,3,5,0,19.995,0,175,manual,2489 mm
1,1,1,1,1,1,,999,petrol,48,,,74 kW (100 hp),170,Ford B-MAX 1.0 EcoBoost 100hp Titanium,3,5,1,21.910,1,175,manual,2489 mm
1,1,1,1,1,1,,999,petrol,48,,,88 kW (120 hp),200,Ford B-MAX 1.0 EcoBoost 120hp Titanium,3,5,1,22.495,1,189,manual,2489 mm
1,1,1,1,0,1,,999,petrol,48,,,74 kW (100 hp),170,Ford B-MAX 1.0 EcoBoost 100hp Ambiente,3,5,0,18.860,0,175,manual,2489 mm
1,1,1,1,1,1,,1560,diesel,47,,,70 kW (95 hp),215,Ford B-MAX 1.6 TDCi Trend,4,5,0,23.550,0,173,manual,2489 mm
0,0,0,0,0,0,,1589,petrol,50,,,77 kW (105 hp),134,Daihatsu Applause 16 Osaka,4,5,0,13.611,0,185,manual,2470 mm
1,1,1,1,1,1,,1596,petrol,48,,,77 kW (105 hp),150,Ford B-MAX 1.6 Ti-VCT Titanium,4,5,1,25.615,1,180,sequential automatic,2489 mm
1,0,0,0,0,1,,1589,petrol,50,,,77 kW (105 hp),134,Daihatsu Applause 16 Tokyo,4,5,0,15.971,0,175,automatic,2470 mm
1,0,0,0,0,1,,1589,petrol,50,,,77 kW (105 hp),134,Daihatsu Applause 16 Tokyo,4,5,0,14.519,0,185,manual,2470 mm
0,0,0,0,0,0,,1589,petrol,48,,,77 kW (105 hp),134,Daihatsu Applause 16 Zi 4WD,4,5,0,19.057,0,180,manual,2470 mm
